"PartitionKey","RowKey","Category","Subcategory","Confidence","PossibleRootCause","DetailedRootCause","AIAnalysis","Reasoning","Service"
"2026-W19","INC15498288","Microsoft 365 Copilot Issues","",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W19","INC15498315","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W19","INC15498592","Microsoft OneDrive Issues","OneDrive client not running",,"OneDrive Client Failure","OneDrive client failed to launch",,,"Productivity Tools"
"2026-W19","INC15498867","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W19","INC15498958","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W19","INC15498973","Microsoft Forms Issues","Forms access issue",,"Forms Entitlement Missing","Forms Creation Access entitlement missing",,,"Productivity Tools"
"2026-W19","INC15499451","Microsoft OneDrive Issues","Rejoin access issue",,"Rejoin Access Issue","Rejoin access not reapplied to OneDrive",,,"Productivity Tools"
"2026-W19","INC15500054","Microsoft 365 Copilot Issues","",,"Usage Guidance (How Do I)","Copilot usage / how-to question",,,"Productivity Tools"
"2026-W19","INC15500257","Microsoft Excel Issues","File save failure",,"Stale Desktop Cache","Stale Excel desktop cache",,,"Productivity Tools"
"2026-W19","INC15500493","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W19","INC15500771","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W19","INC15500846","Microsoft Forms Issues","Forms access issue",,"Forms Entitlement Missing","Forms Creation Access entitlement missing",,,"Productivity Tools"
"2026-W19","INC15501072","Microsoft Excel Issues","File not opening",,"Hung Excel Process","Excel stuck in hung process",,,"Productivity Tools"
"2026-W19","INC15501144","Microsoft 365 Apps for Enterprise Issues","Installation failure",,"Click-to-Run Installer Corruption","Corrupted Office installation",,,"Productivity Tools"
"2026-W19","INC15501669","Microsoft Excel Issues","",,"Hung Excel Process","Excel stuck in hung process",,,"Productivity Tools"
"2026-W19","INC15501881","Microsoft Forms Issues","Forms access issue",,"Forms Entitlement Missing","Forms Creation Access entitlement missing",,,"Productivity Tools"
"2026-W19","INC15502364","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W19","INC15502966","Microsoft Excel Issues","Add-in issue",,"Underlying Data Permission Missing","Underlying data permission missing (returns #N/A)",,,"Productivity Tools"
"2026-W19","INC15503200","Microsoft OneNote Issues","Data loss after PC refresh",,"Data Loss After PC Refresh","OneNote data loss after PC refresh",,,"Productivity Tools"
"2026-W19","INC15503307","Microsoft OneDrive Issues","Former employee data — beyond 30 days",,"Former Employee Data Request","Former-employee OneDrive data request",,,"Productivity Tools"
"2026-W19","INC15503315","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W19","INC15503363","Microsoft OneDrive Issues","Rejoin access issue",,"Rejoin Access Issue","Rejoin access not reapplied to OneDrive",,,"Productivity Tools"
"2026-W19","INC15503464","Microsoft OneDrive Issues","Rejoin access issue",,"Rejoin Access Issue","Stale permission entry on old identity",,,"Productivity Tools"
"2026-W19","INC15503492","Microsoft OneDrive Issues","OneDrive client not running",,"OneDrive Client Failure","OneDrive client failed to launch",,,"Productivity Tools"
"2026-W19","INC15503497","Microsoft OneDrive Issues","Shared file access issue",,"Shared File Permission Denied","Shared file permission denied",,,"Productivity Tools"
"2026-W19","INC15503648","Microsoft 365 Copilot Issues","",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W19","INC15504047","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W19","INC15504083","Microsoft OneNote Issues","Notebook sync failure",,"Notebook Not Added on New Device","Notebook not added on new device",,,"Productivity Tools"
"2026-W19","INC15505284","Shared File Service (Share Drives) Issues","Mapped drive not connecting",,"Mapped Drive Not Reconnected","Drive remap required after PC change",,,"Productivity Tools"
"2026-W19","INC15505473","Shared File Service (Share Drives) Issues","Mapped drive not connecting",,"Mapped Drive Not Reconnected","Drive remap required after PC change",,,"Productivity Tools"
"2026-W19","INC15506047","Microsoft OneDrive Issues","OneDrive client not running",,"OneDrive Client Failure","OneDrive client failed to launch",,,"Productivity Tools"
"2026-W20","INC15392222","Microsoft Excel Issues","Excel performance issue",,"Excel Performance Degradation","Excel desktop performance degradation",,,"Productivity Tools"
"2026-W20","INC15395418","Microsoft OneDrive Issues","Rejoin access issue",,"PUID Mismatch","PUID / URL mapping mismatch",,,"Productivity Tools"
"2026-W20","INC15453255","Microsoft 365 Apps for Enterprise Issues","Activation issue",,"Corrupted Office Identity","Corrupted Office identity / cached credential",,,"Productivity Tools"
"2026-W20","INC15472717","Microsoft Excel Issues","Data refresh failure",,"Stale Desktop Cache","Stale Excel desktop cache",,,"Productivity Tools"
"2026-W20","INC15485074","Microsoft Word Issues","Addin not available",,"Corporate Add-in Not Available","Word add-in not deployed by IT",,,"Productivity Tools"
"2026-W20","INC15499634","Microsoft 365 Apps for Enterprise Issues","Activation issue",,"F3 License Restriction","F3 license restriction",,,"Productivity Tools"
"2026-W20","INC15500364","Microsoft OneDrive Issues","",,"OneDrive Client Failure","OneDrive client failed to launch",,,"Productivity Tools"
"2026-W20","INC15504922","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W20","INC15505702","Microsoft OneDrive Issues","OneDrive sync failure",,"Sync Stall","OneDrive client stopped syncing",,,"Productivity Tools"
"2026-W20","INC15507102","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W20","INC15507728","Microsoft 365 Copilot Issues","Copilot partially enabled",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W20","INC15508752","Microsoft Forms Issues","",,"Forms Entitlement Missing","Forms Creation Access entitlement missing",,,"Productivity Tools"
"2026-W20","INC15509031","Microsoft 365 Apps for Enterprise Issues","Activation issue",,"F3 License Restriction","F3 license restriction",,,"Productivity Tools"
"2026-W20","INC15509448","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W20","INC15509469","Microsoft OneDrive Issues","Shared file access issue",,"Shared File Permission Denied","Shared file permission denied",,,"Productivity Tools"
"2026-W20","INC15509473","Shared File Service (Share Drives) Issues","",,"AGS Share Entitlement Missing","Missing AGS entitlement for share",,,"Productivity Tools"
"2026-W20","INC15509527","Microsoft 365 Apps for Enterprise Issues","Activation issue",,"F3 License Restriction","F3 license restriction",,,"Productivity Tools"
"2026-W20","INC15510224","Microsoft 365 Copilot Issues","",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W20","INC15510251","Google Workspace Issues","",,"Google Drive Upload Blocked by Policy","Google Drive upload blocked by IT policy",,,"Productivity Tools"
"2026-W20","INC15510470","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W20","INC15510735","Microsoft OneDrive Issues","Shared file access issue",,"Shared File Permission Denied","Shared file permission denied",,,"Productivity Tools"
"2026-W20","INC15511301","Microsoft PowerPoint Issues","Presentation not opening",,"Incorrect File Path","Presentation path not reachable",,,"Productivity Tools"
"2026-W20","INC15511605","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W20","INC15511757","Microsoft 365 Apps for Enterprise Issues","Installation failure",,"Company Portal Install Stuck","Click-to-Run installer hung in Company Portal",,,"Productivity Tools"
"2026-W20","INC15512071","Microsoft OneNote Issues","",,"Prior OneDrive Site Inaccessible","Notebook hosted on inaccessible OneDrive",,,"Productivity Tools"
"2026-W20","INC15512073","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W20","INC15512351","Microsoft OneDrive Issues","Rejoin access issue",,"PUID Mismatch","Stale permission entry on old identity",,,"Productivity Tools"
"2026-W20","INC15512362","Microsoft OneDrive Issues","OneDrive usage query",,"OneDrive Sign-In / Connectivity Failure","OneDrive sign-in / connectivity failure",,,"Productivity Tools"
"2026-W20","INC15513262","Microsoft OneDrive Issues","",,"File Availability Setting","Offline files setting misconfigured",,,"Productivity Tools"
"2026-W20","INC15514653","Microsoft OneNote Issues","Missing notes issue",,"Missing Notes / Pages","Missing notes or pages in notebook",,,"Productivity Tools"
"2026-W20","INC15514773","Microsoft OneDrive Issues","OneDrive client not running",,"Sync Stall","OneDrive client stopped syncing",,,"Productivity Tools"
"2026-W20","INC15514870","Microsoft OneDrive Issues","",,"Long File Path Issue","Long path or filename conflict",,,"Productivity Tools"
"2026-W20","INC15515082","Microsoft Excel Issues","File not opening",,"Hung Excel Process","Excel stuck in hung process",,,"Productivity Tools"
"2026-W20","INC15515266","Microsoft 365 Apps for Enterprise Issues","Activation issue",,"F3 License Restriction","F3 license restriction",,,"Productivity Tools"
"2026-W20","INC15515882","Microsoft Excel Issues","Data refresh failure",,"Underlying Data Permission Missing","Underlying data permission missing (returns #N/A)",,,"Productivity Tools"
"2026-W20","INC15516008","Microsoft 365 Copilot Issues","Copilot partially enabled",,"Copilot License Blackout","Copilot feature inconsistency across apps",,,"Productivity Tools"
"2026-W20","INC15516013","Microsoft 365 Apps for Enterprise Issues","Installation failure",,"Click-to-Run Installer Corruption","Click-to-Run error 30015-xx",,,"Productivity Tools"
"2026-W20","INC15517278","Microsoft OneDrive Issues","Shared file access issue",,"Shared File Permission Denied","Shared file permission denied",,,"Productivity Tools"
"2026-W20","INC15517606","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot SKU Not Provisioned","Copilot licence assigned but not propagated",,,"Productivity Tools"
"2026-W20","INC15518024","Microsoft Forms Issues","Forms access issue",,"Forms Entitlement Missing","Forms Creation Access entitlement missing",,,"Productivity Tools"
"2026-W20","INC15518099","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W20","INC15518666","Microsoft OneNote Issues","",,"Notebook Not Added on New Device","Notebook not added on new device",,,"Productivity Tools"
"2026-W20","INC15518746","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W20","INC15519219","Microsoft 365 Apps for Enterprise Issues","Activation issue",,"F3 License Restriction","F3 license restriction",,,"Productivity Tools"
"2026-W20","INC15519409","Microsoft 365 Apps for Enterprise Issues","Office app usage query",,"Usage Guidance (How Do I)","Office usage / how-to question",,,"Productivity Tools"
"2026-W20","INC15519600","Microsoft Excel Issues","Data refresh failure",,"Corrupted Add-in","Excel data refresh failure",,,"Productivity Tools"
"2026-W20","INC15519603","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W20","INC15519713","Microsoft 365 Copilot Issues","Feature rollout issue",,"ChunkLoadError / Stale Cache","Copilot ChunkLoadError (stale browser / Teams cache)",,,"Productivity Tools"
"2026-W20","INC15519818","Microsoft OneDrive Issues","Former employee data — beyond 30 days",,"Former Employee Data Request","Previous OneDrive site not retained",,,"Productivity Tools"
"2026-W20","INC15519966","Microsoft Excel Issues","File not opening",,"Hung Excel Process","Excel stuck in hung process",,,"Productivity Tools"
"2026-W20","INC15520126","Microsoft OneDrive Issues","Shared file access issue",,"Shared File Permission Denied","Shared file permission denied",,,"Productivity Tools"
"2026-W20","INC15520309","Shared File Service (Share Drives) Issues","Mapped drive not connecting",,"Mapped Drive Not Reconnected","Drive remap required after PC change",,,"Productivity Tools"
"2026-W20","INC15520467","Microsoft Excel Issues","File not opening",,"Stale Desktop Cache","Stale Excel desktop cache",,,"Productivity Tools"
"2026-W21","INC15440615","Microsoft Excel Issues","",,"OLAP / Power BI Performance Issue","OLAP / Power BI data refresh slowness",,,"Productivity Tools"
"2026-W21","INC15498699","Microsoft OneDrive Issues","File access inconsistency",,"OneDrive Client Failure","OneDrive client failed to launch",,,"Productivity Tools"
"2026-W21","INC15500911","Microsoft Word Issues","Addin not available",,"Office Store Blocked by Policy","Office Store disabled by tenant policy",,,"Productivity Tools"
"2026-W21","INC15504929","Microsoft OneDrive Issues","Rejoin access issue",,"Rejoin Access Issue","Rejoin access not reapplied to OneDrive",,,"Productivity Tools"
"2026-W21","INC15515521","Microsoft OneDrive Issues","Long file Path issue",,"Long File Path Issue","Long path or filename conflict",,,"Productivity Tools"
"2026-W21","INC15518905","Microsoft OneDrive Issues","OneDrive sync failure",,"Sync Stall","OneDrive client stopped syncing",,,"Productivity Tools"
"2026-W21","INC15521577","Microsoft OneNote Issues","",,"Notebook Not Added on New Device","Notebook not added on new device",,,"Productivity Tools"
"2026-W21","INC15522591","Microsoft OneDrive Issues","Former employee data — beyond 30 days",,"Former Employee Data Request","Former-employee OneDrive data request",,,"Productivity Tools"
"2026-W21","INC15522871","Shared File Service (Share Drives) Issues","Access permission issue",,"Subfolder Permission Missing","Subfolder permission missing",,,"Productivity Tools"
"2026-W21","INC15523378","Shared File Service (Share Drives) Issues","Mapped drive not connecting",,"Mapped Drive Not Reconnected","Drive remap required after PC change",,,"Productivity Tools"
"2026-W21","INC15523872","Microsoft Forms Issues","",,"Forms Entitlement Missing","Forms Creation Access entitlement missing",,,"Productivity Tools"
"2026-W21","INC15523883","Microsoft 365 Copilot Issues","",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W21","INC15523983","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W21","INC15524002","Microsoft 365 Apps for Enterprise Issues","",,"F3 License Restriction","F3 license restriction",,,"Productivity Tools"
"2026-W21","INC15524089","Microsoft OneDrive Issues","Shared file access issue",,"Shared File Permission Denied","Shared file permission denied",,,"Productivity Tools"
"2026-W21","INC15524387","Microsoft Excel Issues","",,"Corrupted Add-in","Corrupted Excel add-in",,,"Productivity Tools"
"2026-W21","INC15525126","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W21","INC15525196","Excluded","Out of scope","Low","Out-of-scope Service Offering","Unknown","Legacy row from before structured AI Analysis was stored. The original run classified this ticket as Excluded (misrouted to Productivity Tools); it is treated as out-of-scope and is not counted against PT root-cause analysis. Refetch source from ServiceNow if a fuller narrative is required.",,"Productivity Tools"
"2026-W21","INC15525265","Microsoft OneNote Issues","",,"Notebook Not Added on New Device","Notebook not added on new device",,,"Productivity Tools"
"2026-W21","INC15525376","Microsoft Forms Issues","Forms access issue",,"Forms Entitlement Missing","Forms Creation Access entitlement missing",,,"Productivity Tools"
"2026-W21","INC15525693","Microsoft OneDrive Issues","Former employee data — within 30 days",,"Former Employee Data Request","Former-employee OneDrive data request",,,"Productivity Tools"
"2026-W21","INC15525741","Microsoft OneDrive Issues","Rejoin access issue",,"Rejoin Access Issue","Rejoin access not reapplied to OneDrive",,,"Productivity Tools"
"2026-W21","INC15525747","Shared File Service (Share Drives) Issues","Access permission issue",,"AGS Share Entitlement Missing","Missing AGS entitlement for share",,,"Productivity Tools"
"2026-W21","INC15525912","Microsoft OneDrive Issues","Shared file access issue",,"Shared File Permission Denied","Shared file permission denied",,,"Productivity Tools"
"2026-W21","INC15526197","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W21","INC15526225","Microsoft OneNote Issues","",,"Missing Notes / Pages","Missing notes or pages in notebook",,,"Productivity Tools"
"2026-W21","INC15526473","Microsoft OneDrive Issues","Shared file access issue",,"Shared File Permission Denied","Stale permission entry on old identity",,,"Productivity Tools"
"2026-W21","INC15526801","Microsoft OneDrive Issues","OneDrive client not running",,"OneDrive Client Failure","OneDrive client failed to launch",,,"Productivity Tools"
"2026-W21","INC15527683","Microsoft Excel Issues","File not opening",,"Stale Desktop Cache","Stale Excel desktop cache",,,"Productivity Tools"
"2026-W21","INC15527762","Microsoft 365 Copilot Issues","",,"Copilot License Blackout","Copilot usage / how-to question",,,"Productivity Tools"
"2026-W21","INC15528213","Microsoft PowerPoint Issues","Powerpoint Crash",,"PowerPoint Client Fault","PowerPoint desktop-only crash",,,"Productivity Tools"
"2026-W21","INC15528302","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W21","INC15529201","Microsoft 365 Apps for Enterprise Issues","Installation failure",,"Usage Guidance (How Do I)","Corrupted Office installation",,,"Productivity Tools"
"2026-W21","INC15529360","Microsoft OneNote Issues","OneNote not responding",,"OneNote Client Fault","OneNote client launch failure",,,"Productivity Tools"
"2026-W21","INC15529416","Shared File Service (Share Drives) Issues","Mapped drive not connecting",,"Mapped Drive Not Reconnected","Drive remap required after PC change",,,"Productivity Tools"
"2026-W21","INC15529608","Microsoft Forms Issues","Forms access issue",,"Forms Entitlement Missing","Forms Creation Access entitlement missing",,,"Productivity Tools"
"2026-W21","INC15529697","Microsoft OneDrive Issues","Rejoin access issue",,"Rejoin Access Issue","Rejoin access not reapplied to OneDrive",,,"Productivity Tools"
"2026-W21","INC15529725","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W21","INC15529913","Microsoft OneDrive Issues","Long file Path issue",,"Long File Path Issue","Long path or filename conflict",,,"Productivity Tools"
"2026-W21","INC15530867","Microsoft 365 Copilot Issues","",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W21","INC15531100","Microsoft OneDrive Issues","Rejoin access issue",,"Rejoin Access Issue","Rejoin access not reapplied to OneDrive",,,"Productivity Tools"
"2026-W21","INC15531153","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot SKU Not Provisioned","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W21","INC15531307","Microsoft 365 Apps for Enterprise Issues","Activation issue",,"F3 License Restriction","F3 license restriction",,,"Productivity Tools"
"2026-W21","INC15531505","Microsoft Excel Issues","",,"Stale Desktop Cache","Stale Excel desktop cache",,,"Productivity Tools"
"2026-W21","INC15531907","Microsoft Excel Issues","File save failure",,"Stale Desktop Cache","Stale Excel desktop cache",,,"Productivity Tools"
"2026-W21","INC15532040","Microsoft 365 Apps for Enterprise Issues","App crash issue",,"Office App Crash","Corrupted Office installation",,,"Productivity Tools"
"2026-W21","INC15532246","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W21","INC15532450","Microsoft OneDrive Issues","Shared file access issue",,"Shared File Permission Denied","Shared file permission denied",,,"Productivity Tools"
"2026-W21","INC15532496","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W21","INC15532946","Microsoft 365 Apps for Enterprise Issues","Activation issue",,"F3 License Restriction","F3 license restriction",,,"Productivity Tools"
"2026-W21","INC15532979","Microsoft OneDrive Issues","Long file Path issue",,"Long File Path Issue","Long path or filename conflict",,,"Productivity Tools"
"2026-W21","INC15533586","Microsoft 365 Apps for Enterprise Issues","Activation issue",,"F3 License Restriction","F3 license restriction",,,"Productivity Tools"
"2026-W21","INC15534151","Microsoft OneNote Issues","",,"Notebook Not Added on New Device","Notebook not added on new device",,,"Productivity Tools"
"2026-W21","INC15534987","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W21","INC15535011","Microsoft OneDrive Issues","Rejoin access issue",,"PUID Mismatch","Stale permission entry on old identity",,,"Productivity Tools"
"2026-W21","INC15535029","Microsoft OneNote Issues","Notebook sync failure",,"Legacy Client Compatibility Issue","OneNote Windows 10 client compatibility",,,"Productivity Tools"
"2026-W22","INC15515966","Microsoft OneDrive Issues","",,"File Availability Setting","Files-On-Demand / selective sync exclusion",,,"Productivity Tools"
"2026-W22","INC15518592","Microsoft OneDrive Issues","OneDrive sync failure",,"Sync Stall","OneDrive client stopped syncing",,,"Productivity Tools"
"2026-W22","INC15519259","Microsoft OneDrive Issues","Sync stuck issue",,"Sync Stall","OneDrive client stopped syncing",,,"Productivity Tools"
"2026-W22","INC15524000","Microsoft OneDrive Issues","OneDrive client not running",,"OneDrive Client Failure","OneDrive client failed to launch",,,"Productivity Tools"
"2026-W22","INC15529692","Microsoft OneNote Issues","",,"OneNote Client Fault","OneNote client launch failure",,,"Productivity Tools"
"2026-W22","INC15536422","Microsoft Excel Issues","File not opening",,"Hung Excel Process","Excel stuck in hung process",,,"Productivity Tools"
"2026-W22","INC15536942","Microsoft 365 Apps for Enterprise Issues","Office apps not opening",,"Office App Crash","Corrupted Office installation",,,"Productivity Tools"
"2026-W22","INC15537635","Shared File Service (Share Drives) Issues","Shared drive usage query",,"AGS Share Entitlement Missing","Missing AGS entitlement for share",,,"Productivity Tools"
"2026-W22","INC15537728","Microsoft 365 Apps for Enterprise Issues","Installation failure",,"Click-to-Run Installer Corruption","Corrupted Office installation",,,"Productivity Tools"
"2026-W22","INC15537828","Microsoft Forms Issues","",,"Poll Feature Not Loaded","Outlook / Teams poll not loading",,,"Productivity Tools"
"2026-W22","INC15538097","Microsoft OneDrive Issues","",,"Sync Stall","Cloud file provider error (0x80070194)",,,"Productivity Tools"
"2026-W22","INC15538208","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W22","INC15538472","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W22","INC15538654","Microsoft 365 Apps for Enterprise Issues","Office apps not opening",,"Click-to-Run Installer Corruption","Corrupted Office installation",,,"Productivity Tools"
"2026-W22","INC15538897","Microsoft OneDrive Issues","Former employee data — beyond 30 days",,"Former Employee Data Request","Former-employee OneDrive data request",,,"Productivity Tools"
"2026-W22","INC15539149","Microsoft 365 Apps for Enterprise Issues","",,"Usage Guidance (How Do I)","Office usage / how-to question",,,"Productivity Tools"
"2026-W22","INC15539161","Microsoft Forms Issues","Forms access issue",,"Forms Entitlement Missing","Forms Creation Access entitlement missing",,,"Productivity Tools"
"2026-W22","INC15539173","Microsoft OneDrive Issues","Former employee data — beyond 30 days",,"Former Employee Data Request","Former-employee OneDrive data request",,,"Productivity Tools"
"2026-W22","INC15539652","Microsoft 365 Apps for Enterprise Issues","App crash issue",,"Office App Crash","Corrupted Office installation",,,"Productivity Tools"
"2026-W22","INC15539854","Shared File Service (Share Drives) Issues","Missing folder / file",,"File Deleted from Shared Drive","File or folder deleted on share",,,"Productivity Tools"
"2026-W22","INC15539885","Microsoft Excel Issues","File corruption issue",,"Hung Excel Process","Excel stuck in hung process",,,"Productivity Tools"
"2026-W22","INC15539992","Microsoft OneNote Issues","",,"Notebook Not Added on New Device","Notebook not added on new device",,,"Productivity Tools"
"2026-W22","INC15540044","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W22","INC15540411","Microsoft OneDrive Issues","OneDrive sync failure",,"Sync Stall","OneDrive client stopped syncing",,,"Productivity Tools"
"2026-W22","INC15540480","Shared File Service (Share Drives) Issues","Mapped drive not connecting",,"Mapped Drive Not Reconnected","Drive remap required after PC change",,,"Productivity Tools"
"2026-W22","INC15540622","Microsoft 365 Apps for Enterprise Issues","Activation issue",,"F3 License Restriction","F3 license restriction",,,"Productivity Tools"
"2026-W22","INC15540742","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W22","INC15540860","Microsoft OneDrive Issues","Former employee data — beyond 30 days",,"Former Employee Data Request","Former-employee OneDrive data request",,,"Productivity Tools"
"2026-W22","INC15540867","Microsoft OneDrive Issues","OneDrive sync failure",,"OneDrive Client Failure","OneDrive client failed to launch",,,"Productivity Tools"
"2026-W22","INC15541169","Microsoft OneDrive Issues","Shared file access issue",,"Shared File Permission Denied","Shared file permission denied",,,"Productivity Tools"
"2026-W22","INC15541170","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W22","INC15541655","Microsoft OneDrive Issues","",,"Missing Files After PC Refresh","Missing files after PC refresh (OneDrive)",,,"Productivity Tools"
"2026-W22","INC15542068","Microsoft OneDrive Issues","OneDrive client not running",,"OneDrive Client Failure","OneDrive client failed to launch",,,"Productivity Tools"
"2026-W22","INC15542332","Microsoft OneDrive Issues","Shared file access issue",,"Shared File Permission Denied","Shared file permission denied",,,"Productivity Tools"
"2026-W22","INC15542398","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W22","INC15542780","Microsoft OneDrive Issues","Shared file access issue",,"Shared File Permission Denied","Shared file permission denied",,,"Productivity Tools"
"2026-W22","INC15542862","Microsoft 365 Apps for Enterprise Issues","App crash issue",,"Office App Crash","Corrupted Office installation",,,"Productivity Tools"
"2026-W22","INC15543032","Microsoft OneDrive Issues","Former employee data — beyond 30 days",,"Former Employee Data Request","Former-employee OneDrive data request",,,"Productivity Tools"
"2026-W22","INC15543089","Microsoft OneDrive Issues","Former employee data — beyond 30 days",,"Prior OneDrive Site Expired","Previous OneDrive site not retained",,,"Productivity Tools"
"2026-W22","INC15543536","Microsoft OneDrive Issues","Rejoin access issue",,"Rejoin Access Issue","Rejoin access not reapplied to OneDrive",,,"Productivity Tools"
"2026-W22","INC15543708","Microsoft OneDrive Issues","Rejoin access issue",,"Rejoin Access Issue","Rejoin access not reapplied to OneDrive",,,"Productivity Tools"
"2026-W22","INC15543767","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W22","INC15543940","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot SKU Not Provisioned","Copilot licence assigned but not propagated",,,"Productivity Tools"
"2026-W22","INC15543960","Shared File Service (Share Drives) Issues","Access permission issue",,"Subfolder Permission Missing","Subfolder permission missing",,,"Productivity Tools"
"2026-W22","INC15544773","Microsoft 365 Apps for Enterprise Issues","Activation issue",,"F3 License Restriction","F3 license restriction",,,"Productivity Tools"
"2026-W22","INC15544877","Microsoft Excel Issues","",,"Excel Performance Degradation","Excel desktop performance degradation",,,"Productivity Tools"
"2026-W22","INC15544986","Microsoft OneDrive Issues","Sync stuck issue",,"Sync Stall","OneDrive client stopped syncing",,,"Productivity Tools"
"2026-W22","INC15545033","Microsoft OneNote Issues","Missing notes issue",,"Missing Notes / Pages","Missing notes or pages in notebook",,,"Productivity Tools"
